{5.495255248483457, -0.4287240739400482 - 0.8961404058773748*I}
{5.546281783351545, -0.43810735694585806 - 0.8912222168889092*I}
{5.598908135748106, -0.4477489825758798 - 0.8861338959147494*I}
{5.653188519410865, -0.4576525672558364 - 0.8808689107510554*I}
{5.709179410594539, -0.4678199652340891 - 0.8754188231590431*I}
{5.766939659242906, -0.47825135956575193 - 0.8697731428146147*I}
{5.826530606295876, -0.48894536912885933 - 0.8639192067339365*I}
{5.88801620751325, -0.499899168533702 - 0.8578420865433192*I}
{5.951463164223291, -0.5111086175081543 - 0.8515245255901586*I}
{6.0169410614325045, -0.5225683961053059 - 0.8449469074878037*I}
{6.084522513763596, -0.5342721418891687 - 0.8380872572546744*I}
{6.154283319721427, -0.5462125851137265 - 0.8309212757508606*I}
{6.226302624822175, -0.5583816778240441 - 0.8234224076383606*I}
{6.3006630941590815, -0.5707707127792754 - 0.8155619425991657*I}
{6.377451095019287, -0.5833704281296765 - 0.8073091490442073*I}
{6.456756890210663, -0.5961710938762851 - 0.7986314390419462*I}
{6.538674842805442, -0.6091625763055141 - 0.7894945626948974*I}
{6.623303633059188, -0.6223343768237951 - 0.7798628297030072*I}
{6.71074648831955, -0.6356756419212499 - 0.7696993553825062*I}
{6.801111426799643, -0.6491751413691575 - 0.7589663279661536*I}
{6.894511516156303, -0.6628212122038468 - 0.747625293604755*I}
{6.991065147884113, -0.6766016665688015 - 0.7356374551299776*I}
{7.090896328612731, -0.6905036620753063 - 0.7229639803347748*I}
{7.19413498947795, -0.7045135339967814 - 0.7095663152903645*I}
{7.300917314826844, -0.7186165893285497 - 0.6954064980580933*I}
{7.411386091614829, -0.7327968635171483 - 0.6804474680810148*I}
{7.525691080958282, -0.7470368414837742 - 0.664653366563779*I}
{7.643989413421201, -0.7613171454256179 - 0.6479898232801348*I}
{7.766446009739145, -0.7756161927654014 - 0.6304242254939052*I}
{7.893234028819334, -0.7899098285201491 - 0.6119259650495213*I}
{8.02453534500327, -0.8041709372598982 - 0.592466660188404*I}
{8.160541056738749, -0.8183690407085077 - 0.5720203492821013*I}
{8.301452028982906, -0.8324698878829352 - 0.5505636544441548*I}
{8.447479471848409, -0.8464350454534958 - 0.5280759138893549*I}
{8.598845558212473, -0.8602214967134242 - 0.5045392829471311*I}
{8.755784083234927, -0.8737812581480194 - 0.47993880479712786*I}
{8.91854116897881, -0.8870610230675218 - 0.45426245326689096*I}
{9.087376017597062, -0.9000018420891777 - 0.4275011513963582*I}
{9.262561716844106, -0.9125388503987026 - 0.3996487709083428*I}
{9.44438610199409, -0.9246010516668031 - 0.3707021191993358*I}
{9.633152678601, -0.9361111682220337 - 0.34066092194540004*I}
{9.829181610923012, -0.9469855665697876 - 0.3095278108619477*I}
{10.03281078125784, -0.957134266585818 - 0.277308327515596*I}
{10.244396925901311, -0.966461041694299 - 0.24401095530667083*I}
{10.464316853952305, -0.9748636160650676 - 0.20964719276211843*I}
{10.692968755748447, -0.9822339633408257 - 0.1742316820354274*I}
{10.930773608333974, -0.9884587096510662 - 0.1377824069336629*I}
{11.178176686039809, -0.9934196417147493 - 0.10032097481052925*I}
{11.435649185003339, -0.9969943187200014 - 0.061872996206784825*I}
{11.703689971278598, -0.9990567844510959 - 0.022468575115613038*I}
{11.982827463095685, -0.999478373879054 + 0.01785707886414396*I}
{12.273621658830141, -0.9981286062243382 + 0.05906290750635929*I}
{12.576666323349887, -0.9948761544331876 + 0.10110112408194903*I}
{12.892591346630734, -0.9895898791897679 + 0.14391619437976183*I}
{13.22206528988512, -0.9821399141304171 + 0.1874436808609186*I}
{13.565798135947665, -0.9723987879560685 + 0.23160895740371742*I}
{13.924544262322435, -0.9602425687784593 + 0.2763258080052359*I}
{14.299105657139636, -0.9455520164054182 + 0.32149492932518603*I}
{14.69033540031576, -0.9282137294804603 + 0.3670023639722082*I}
{15.099141434485125, -0.9081212765339207 + 0.41271789878781284*I}
{15.526490652800511, -0.8851763031415045 + 0.4584934698825518*I}
{15.9734133335172, -0.859289611548755 + 0.5041616235853129*I}
{16.441007954414125, -0.8303822142860966 + 0.5495340895028851*I}
{16.930446423608338, -0.7983863693897152 + 0.5944005282405304*I}
{17.442979767230547, -0.7632466117103314 + 0.6385275216635918*I}
{17.979944318802545, -0.724920802207854 + 0.6816578775239206*I}
{18.542768460051175, -0.6833812247812845 + 0.7235103224646758*I}
{19.132979968376496, -0.6386157676645252 + 0.7637796574927376*I}
{19.75221403234103, -0.5906292332310662 + 0.8021374476362388*I}
{20.40222200345161, -0.539444825604982 + 0.838233312400077*I}
{21.084880960266624, -0.48510586910266207 + 0.8716968755802075*I}
{21.80220416959598, -0.4276778114952531 + 0.9021404218787904*I}
{22.556352539402347, -0.36725056361200065 + 0.9291622935771814*I}
{23.349647169114064, -0.30394122011905844 + 0.9523510434150364*I}
{24.184583115599153, -0.23789719466239512 + 0.9712903400961083*I}
{25.063844507230012, -0.1692997853007617 + 0.9855646009755147*I}
{25.99032115452514, -0.09836816276765747 + 0.9947653031430072*I}
{26.96712682405959, -0.02536374429929919 + 0.9984979001452527*I}
{27.997619363004798, 0.04940512045119787 + 0.9963892479943265*I}
{29.08542288515683, 0.12557826715853665 + 0.9880954220303501*I}
{30.23445225606387, 0.2027388014815097 + 0.9733097868720321*I}
{31.448940145363398, 0.28040836532070845 + 0.9517711663530247*I}
{32.7334669492622, 0.358042852862966 + 0.9232719502025294*I}
{34.092993925910605, 0.4350288976891779 + 0.8876659703328653*I}
{35.53289993202139, 0.5106815018533128 + 0.8448759827338482*I}
{37.059022201385325, 0.584243220395154 + 0.7949006015593271*I}
{38.67770166601895, 0.6548853461296241 + 0.7378205499515371*I}
{40.395833389817405, 0.721711555311818 + 0.6738041168147069*I}
{42.22092276427264, 0.7837644702946847 + 0.6031117387689984*I}
{44.16114820782206, 0.8400355660427667 + 0.5260996598023294*I}
{46.225431216804985, 0.8894787891934591 + 0.4432226548630076*I}
{48.42351473930116, 0.9310281678625041 + 0.3550358342883988*I}
{50.76605098624853, 0.9636195653085604 + 0.26219556948110745*I}
{53.26469996068887, 0.9862165701986496 + 0.16545959223083*I}
{55.93224017994595, 0.9978403218265001 + 0.06568631612809109*I}
{58.78269329199503, 0.9976028438663023 - 0.03616659538937784*I}
{61.83146455221958, 0.9847432114072547 - 0.13904443680002576*I}
{65.09550143735744, 0.9586656122946903 - 0.24179853824483127*I}
{68.59347303837006, 0.9189780972982239 - 0.34319040352484415*I}
{72.34597330367161, 0.8655305591796406 - 0.44189721605255594*I}
{76.37575171127328, 0.7984502555260794 - 0.5365191530496668*I}
{80.70797554827573, 0.7181730130927874 - 0.6255890863123955*I}
{85.37052868744529, 0.6254681419125238 - 0.707585377934286*I}
{90.39435259611831, 0.5214550645952998 - 0.7809485845684994*I}
{95.81383632026353, 0.4076097470877102 - 0.8441029442480783*I}
{101.66726339040702, 0.28575921508436747 - 0.8954835136415801*I}
{107.99732503840062, 0.15806276336119704 - 0.9335697286598963*I}
{114.85171084670486, 0.02697891465875195 - 0.9569259569126215*I}
