{8.755784083234927, 0.8420516529015206 - 0.5379556070918304*I}
{8.91854116897881, 0.8164968703035932 - 0.5772094947061823*I}
{9.087376017597062, 0.7880675100815167 - 0.6155888234463917*I}
{9.262561716844106, 0.7566742999418555 - 0.6529660404744643*I}
{9.44438610199409, 0.7222480405408608 - 0.6892093251052342*I}
{9.633152678601, 0.6847421202230082 - 0.7241811775213493*I}
{9.829181610923012, 0.6441348449564226 - 0.7577369173248133*I}
{10.03281078125784, 0.600431536533615 - 0.7897231422593348*I}
{10.244396925901311, 0.5536663548236349 - 0.8199762060202149*I}
{10.464316853952305, 0.5039038039061167 - 0.8483207821571852*I}
{10.692968755748447, 0.4512398873082291 - 0.8745685883599219*I}
{10.930773608333974, 0.39580288427914334 - 0.89851735155805*I}
{11.178176686039809, 0.337753727000889 - 0.9199500989082008*I}
{11.435649185003339, 0.27728596772136443 - 0.938634862507639*I}
{11.703689971278598, 0.21462533481583504 - 0.954324886191548*I}
{11.982827463095685, 0.1500288874836149 - 0.9667594206726642*I}
{12.273621658830141, 0.08378378984587147 - 0.9756651882245235*I}
{12.576666323349887, 0.016205736240992284 - 0.9807585897899939*I}
{12.892591346630734, -0.05236292993537776 - 0.9817487155701087*I}
{13.22206528988512, -0.12155535193543217 - 0.9783412046475728*I}
{13.565798135947665, -0.1909824899772751 - 0.9702429799564006*I}
{13.924544262322435, -0.26023558034694816 - 0.957167861975254*I}
{14.299105657139636, -0.32888865427770214 - 0.9388430380883092*I}
{14.69033540031576, -0.39650104772009764 - 0.9150163349734557*I}
{15.099141434485125, -0.46261983706779786 - 0.8854642091670194*I}
{15.526490652800511, -0.5267821441380298 - 0.8500003368261175*I}
{15.9734133335172, -0.588517266553708 - 0.8084846485643647*I}
{16.441007954414125, -0.6473486073035718 - 0.7608326201631556*I}
{16.930446423608338, -0.7027953996264664 - 0.7070245962265952*I}
{17.442979767230547, -0.7543742501822152 - 0.6471148928774948*I}
{17.979944318802545, -0.8016005541454726 - 0.5812403989323833*I}
{18.542768460051175, -0.8439898694699156 - 0.5096283742702766*I}
{19.132979968376496, -0.8810593728382233 - 0.43260313096605224*I}
