{6.377451095019287, 0.9960111172450167 - 0.08922905702737356*I}
{6.456756890210663, 0.995791538991416 - 0.09164720853628132*I}
{6.538674842805442, 0.9955609362854418 - 0.0941191908979517*I}
{6.623303633059188, 0.9953187813168952 - 0.09664620590104793*I}
{6.71074648831955, 0.9950645206947 - 0.09922949545131368*I}
{6.801111426799643, 0.994797574115055 - 0.10187034333157378*I}
{6.894511516156303, 0.9945173329211273 - 0.10457007702161138*I}
{6.991065147884113, 0.9942231585391457 - 0.1073300695829873*I}
{7.090896328612731, 0.9939143807747428 - 0.11015174161561596*I}
{7.19413498947795, 0.9935902959526036 - 0.11303656329483355*I}
{7.300917314826844, 0.993250164881952 - 0.11598605649974433*I}
{7.411386091614829, 0.9928932106302023 - 0.11900179704575317*I}
{7.525691080958282, 0.9925186160872359 - 0.12208541703631626*I}
{7.643989413421201, 0.9921255213032691 - 0.1252386073509797*I}
{7.766446009739145, 0.9917130205841708 - 0.1284631202886315*I}
{7.893234028819334, 0.9912801593293408 - 0.13176077238645162*I}
{8.02453534500327, 0.9908259305988654 - 0.135133447436189*I}
{8.160541056738749, 0.990349271398544 - 0.13858309971999186*I}
{8.301452028982906, 0.9898490586734545 - 0.14211175748794255*I}
{8.447479471848409, 0.9893241050028726 - 0.14572152669856636*I}
{8.598845558212473, 0.9887731539914093 - 0.14941459504178725*I}
{8.755784083234927, 0.9881948753529998 - 0.15319323626098505*I}
{8.91854116897881, 0.9875878596856139 - 0.15705981478690775*I}
{9.087376017597062, 0.9869506129350004 - 0.16101679069117125*I}
{9.262561716844106, 0.9862815505451193 - 0.1650667249609648*I}
{9.44438610199409, 0.9855789912908244 - 0.1692122850894512*I}
{9.633152678601, 0.9848411507845054 - 0.17345625096836692*I}
{9.829181610923012, 0.9840661346424423 - 0.1778015210607287*I}
{10.03281078125784, 0.9832519312882537 - 0.18225111882267025*I}
{10.244396925901311, 0.9823964043597804 - 0.18680819933469905*I}
{10.464316853952305, 0.9814972846718413 - 0.19147605609459484*I}
{10.692968755748447, 0.9805521616704538 - 0.196258127917387*I}
{10.930773608333974, 0.9795584742943905 - 0.20115800588302435*I}
{11.178176686039809, 0.9785135011375822 - 0.2061794402702195*I}
{11.435649185003339, 0.9774143497813311 - 0.21132634741624765*I}
{11.703689971278598, 0.9762579451392372 - 0.21660281644790075*I}
{11.982827463095685, 0.9750410166311347 - 0.2220131158389361*I}
{12.273621658830141, 0.9737600839763767 - 0.22756169976461824*I}
{12.576666323349887, 0.9724114413729783 - 0.23325321424447745*I}
{12.892591346630734, 0.9709911398091328 - 0.23909250308996385*I}
{13.22206528988512, 0.9694949672393182 - 0.24508461370356305*I}
{13.565798135947665, 0.9679184263505627 - 0.25123480280888233*I}
{13.924544262322435, 0.9662567096473443 - 0.2575485422252722*I}
{14.299105657139636, 0.9645046715977251 - 0.2640315248330429*I}
{14.69033540031576, 0.9626567976099518 - 0.27068967090281215*I}
{15.099141434485125, 0.9607071696484548 - 0.27752913498076737*I}
{15.526490652800511, 0.9586494283506367 - 0.28455631352573396*I}
